Date,Open,High,Low,Close,Volume
2014-06-06,13.8125,15.0000,13.7500,13.7500,29018000
2014-06-09,14.0625,14.2500,13.7500,13.8000,2867600
2014-06-10,13.8125,15.0000,13.8125,15.0000,3947200
2014-06-11,15.0000,15.8750,14.6651,15.8750,2646400
2014-06-12,15.9125,16.9575,15.7675,16.5000,2917200
2014-06-13,17.1175,18.0000,16.7500,17.3950,4262800
2014-06-16,17.8050,17.8750,16.9087,17.8750,1668000
2014-06-17,17.9725,18.1575,17.2500,17.4275,1114400
2014-06-18,17.5175,17.7500,16.9700,17.2400,835200
2014-06-19,17.0075,17.2025,16.1275,16.4175,2606400
2014-06-20,16.2625,17.1250,16.1250,16.2875,1176000
2014-06-23,16.2550,16.8725,16.2550,16.4275,466000
2014-06-24,16.5875,16.6875,15.9675,16.0700,771200
2014-06-25,15.9525,16.3395,15.5000,16.1225,744800
2014-06-26,16.2025,16.2025,15.6250,15.9525,388400
2014-06-27,15.9775,15.9775,15.5625,15.6375,978800
2014-06-30,15.5175,16.3000,15.5175,15.5975,928000
2014-07-01,16.7425,19.2075,16.5250,19.0000,6632800
2014-07-02,19.6850,20.1325,18.3000,18.8375,4506000
2014-07-03,19.1100,19.4068,18.5250,19.1025,975600
2014-07-07,18.7900,19.3225,18.0075,18.0425,1266400
2014-07-08,17.9825,18.0125,15.7850,17.3575,4714800
2014-07-09,17.3250,18.2250,16.5025,17.9750,1488000
2014-07-10,16.8800,17.5350,16.7809,16.9350,1187200
2014-07-11,17.2000,17.6250,17.0875,17.4075,766800
2014-07-14,17.8500,18.0000,17.1325,17.2375,524000
2014-07-15,17.3625,17.6399,16.5000,16.6725,904400
2014-07-16,16.7675,17.0000,15.9025,16.1325,990800
2014-07-17,15.9725,16.4050,15.7775,15.9400,520800
2014-07-18,16.0075,16.2250,15.8376,16.0000,494800
2014-07-21,16.0325,16.1825,15.7525,15.8075,574800
2014-07-22,15.9400,16.7400,15.8650,16.3775,943600
2014-07-23,16.4725,16.6700,16.1000,16.2050,591600
2014-07-24,16.2775,16.5400,15.9425,16.0625,730400
2014-07-25,16.0375,16.1950,15.6275,15.9100,462400
2014-07-28,16.1300,16.1360,15.7575,15.8525,269600
2014-07-29,15.8975,16.0125,15.7875,15.9625,425600
2014-07-30,16.1200,16.9750,15.9925,16.9475,2432400
2014-07-31,16.5850,16.7500,16.2775,16.5300,1030800
2014-08-01,16.4550,16.8750,16.3125,16.4025,774800
2014-08-04,16.4975,17.3750,16.4200,17.3075,1022400
2014-08-05,17.2075,18.2500,17.0050,18.0225,1609600
2014-08-06,17.8450,18.1250,17.3825,17.7050,902400
2014-08-07,17.9425,18.1650,17.7960,18.0550,1650400
2014-08-08,19.8125,19.9700,17.8750,18.0075,5705600
2014-08-11,18.1725,18.3500,16.8275,17.4650,2960400
2014-08-12,17.3700,17.9215,17.3700,17.7775,892000
2014-08-13,17.7850,17.9925,17.3345,17.4600,1094000
2014-08-14,17.4325,17.9250,17.2000,17.7025,1066400
2014-08-15,17.8550,17.8550,17.3450,17.4550,566400
2014-08-18,17.7125,17.8425,17.3125,17.6275,703600
2014-08-19,17.6850,18.7950,17.5413,18.7500,1912400
2014-08-20,18.5825,19.3173,18.2252,19.1000,1583600
2014-08-21,18.9700,19.5975,18.8325,19.3375,1741200
2014-08-22,19.1225,19.2400,18.8125,18.9050,710400
2014-08-25,19.0125,19.3600,18.7025,18.8950,709600
2014-08-26,18.8600,19.1925,18.6663,19.0425,650800
2014-08-27,18.9975,20.8675,18.9925,20.7900,2896800
